,Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS
328,Tyler Glasnow,25,149,MLB-AL,Tampa Bay,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
329,Zack Godley,29,11,"MLB-NL,MLB-AL","Arizona,Toronto",14,23,19,3,3,0,0,0,2,3,0,10,0,1,0,0,0,0,0.158,0.273,0.158,0.431
330,Ryan Goins,31,0,MLB-AL,Chicago,41,144,126,11,34,6,1,2,10,16,1,38,1,1,0,7,0,1,0.27,0.35700000000000004,0.381,0.738
331,Paul Goldschmidt,31,0,MLB-NL,St. Louis,135,570,508,82,130,16,0,29,73,56,1,140,2,0,2,8,2,1,0.256,0.331,0.45899999999999996,0.79
332,Yan Gomes,31,0,MLB-NL,Washington,77,281,244,27,53,11,0,7,31,33,4,61,4,0,0,5,1,0,0.217,0.32,0.348,0.669
333,Carlos Gomez,33,64,MLB-NL,New York,34,99,86,10,17,3,0,3,10,7,0,30,3,2,1,3,4,1,0.198,0.278,0.337,0.616
334,Tony Gonsolin,25,2,MLB-NL,Los Angeles,6,12,11,1,3,0,0,0,1,0,0,3,0,1,0,0,0,0,0.273,0.273,0.273,0.545
335,Marco Gonzales,27,68,MLB-AL,Seattle,1,3,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0.0,0.0,0.0,0.0
336,Carlos Gonzalez,33,66,"MLB-AL,MLB-NL","Cleveland,Chicago",45,166,145,21,29,3,0,3,10,18,1,52,1,0,2,3,0,0,0.2,0.289,0.28300000000000003,0.5720000000000001
337,Chi Chi Gonzalez,27,8,MLB-NL,Colorado,7,14,14,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0
339,Erik Gonzalez,27,0,MLB-NL,Pittsburgh,34,97,87,7,18,2,1,0,2,7,3,24,0,3,0,4,4,0,0.207,0.266,0.253,0.519
340,Gio Gonzalez,33,0,MLB-NL,Milwaukee,13,22,19,0,0,0,0,0,0,1,0,14,0,2,0,0,0,0,0.0,0.05,0.0,0.05
341,Marwin Gonzalez,30,5,MLB-AL,Minnesota,108,437,400,48,105,18,0,15,48,30,2,92,6,0,1,7,1,0,0.263,0.32299999999999995,0.42,0.743
