team_id,Player,Player Salary,Age_bat,Team_bat,Positions,Total_Points
3,Aaron Judge,6.0,27.0,Yankees,OF,308.0
3,Yordan Alvarez,1.0,22.0,Astros,UTIL,360.0
3,Julio Urias,6.0,22.0,Dodgers,SP,205.6
3,Trevor Bauer,6.0,28.0,- - -,SP,394.0
3,Jose Berrios,6.0,25.0,Twins,SP,389.3
3,Lucas Giolito,1.0,24.0,White Sox,SP,496.5999999999999
3,Justin Verlander,6.0,36.0,Astros,SP,730.0
3,Mike Foltynewicz,6.0,27.0,Braves,BE,186.0
3,Alex Verdugo,6.0,23.0,Dodgers,BE,255.0
3,Carter Kieboom,1.0,21.0,Nationals,BE,10.0
3,Gavin Lux,1.0,21.0,Dodgers,BE,36.0
3,Charlie Blackmon,25.0,32.0,Rockies,BE,521.0
3,Nick Solak,1.0,24.0,Rangers,BE,84.0
3,Christian Vazquez,1.0,28.0,Red Sox,BE,339.0
3,Brad Peacock,5.0,0.0,0,BE,180.6
3,Nico Hoerner,1.0,22.0,Cubs,BE,57.0
3,Chris Sale,1.0,0.0,0,DL,332.2999999999999
3,Jameson Taillon,1.0,27.0,Pirates,DL,68.30000000000001
3,Carlos Carrasco,6.0,0.0,0,DL,139.60000000000002
4,Freddie Freeman,4.0,29.0,Braves,1B,612.0
4,Ozzie Albies,3.0,22.0,Braves,2B,510.0
4,Max Muncy,6.0,28.0,Dodgers,3B,447.0
4,Javier Baez,4.0,26.0,Cubs,SS,393.0
4,J.D. Martinez,4.0,31.0,Red Sox,OF,527.0
4,Andrew Benintendi,3.0,24.0,Red Sox,OF,326.0
4,Marcell Ozuna,6.0,28.0,Cardinals,OF,412.0
4,Howie Kendrick,1.0,35.0,Nationals,UTIL,318.0
4,Jack Flaherty,6.0,23.0,Cardinals,SP,495.3
4,Kevin Gausman,3.0,28.0,- - -,SP,84.60000000000002
4,Jacob deGrom,3.0,31.0,Mets,SP,557.0
4,Aaron Nola,4.0,26.0,Phillies,SP,410.3
4,Christian Walker,1.0,28.0,Diamondbacks,BE,370.0
4,Caleb Smith,1.0,27.0,Marlins,BE,296.2999999999999
4,Freddy Peralta,3.0,23.0,Brewers,BE,154.60000000000005
4,Fernando Tatis Jr.,3.0,20.0,Padres,BE,286.0
4,Pablo Lopez,3.0,23.0,Marlins,BE,144.0
4,Franmil Reyes,5.0,23.0,- - -,BE,354.0
4,Brock Holt,1.0,31.0,Red Sox,BE,151.0
4,Giancarlo Stanton,31.0,29.0,Yankees,BE,35.0
4,Clayton Kershaw,4.0,31.0,Dodgers,BE,437.3
4,Tommy Edman,1.0,24.0,Cardinals,,231.0
