Roto_Rank,Roto_Rank_Bat,Season,Points,Total_Zn,Total_Z,Name,Team,Age,BA,R,RBI,HR,SB,BA_zscore,R_zscore,RBI_zscore,HR_zscore,SB_zscore,Roto_Rank_Pit,K,ERA,WHIP,Saves,Wins,K_zscore,ERA_zscore,WHIP_zscore,Saves_zscore,Wins_zscore
39,34.0,2019.0,468.0,1414.767542192958,9.376380144410556,Austin Meadows,Rays,24.0,0.29100000000000004,83.0,89.0,33.0,12.0,0.8039302926219157,1.9351334820479704,2.21518896003706,2.562026933953388,1.860100475750221,,,,,,,,,,,
40,,2019.0,346.0,126.55034117711594,9.294445775096898,Will Smith,Giants,29.0,,,,,,,,,,,5.0,96.0,2.76,1.0291858678955454,34.0,6.0,0.8049100754727663,-0.6697854999820594,-0.7883161442425749,6.247354591251146,0.7840794641483517
41,35.0,2019.0,386.0,1465.6867449262797,9.265370441572394,Yasiel Puig,- - -,28.0,0.267,76.0,84.0,24.0,19.0,0.6272406818409605,1.7066873203425645,2.048136059289281,1.6804458734171754,3.202860506682412,,,,,,,,,,,
42,,2019.0,304.0,96.64461609480699,8.908097316905687,Aroldis Chapman,Yankees,31.0,,,,,,,,,,,6.0,85.0,2.21,1.105263157894737,37.0,3.0,0.602099152812971,-0.8040129045540262,-0.6710622872625704,6.823015757026541,0.007907215249580005
43,36.0,2019.0,534.0,1528.455121050272,8.895832228304982,DJ LeMahieu,Yankees,30.0,0.327,109.0,102.0,26.0,5.0,1.0689647087933483,2.7836477969537636,2.6495265019812844,1.876352775758556,0.5173404448180302,,,,,,,,,,,
44,37.0,2019.0,479.0,1379.9721811462787,8.885348234427918,Gleyber Torres,Yankees,22.0,0.278,96.0,90.0,38.0,5.0,0.7082234201155649,2.359390639500867,2.2485995401866155,3.0517941898068393,0.5173404448180302,,,,,,,,,,,
45,38.0,2019.0,582.0,1449.9180999225835,8.880921833390513,Carlos Santana,Indians,33.0,0.281,110.0,93.0,34.0,4.0,0.7303096214631843,2.8162829629116786,2.3488312806352827,2.6599803851240784,0.32551758325628866,,,,,,,,,,,
46,39.0,2019.0,540.0,1453.609088286863,8.871815526573178,J.D. Martinez,Red Sox,31.0,0.304,98.0,105.0,36.0,2.0,0.8996371651282661,2.424660971416697,2.7497582424299516,2.8558872874654586,-0.058128139867194444,,,,,,,,,,,
47,40.0,2019.0,393.0,1324.4162308144594,8.781291482156588,Javier Baez,Cubs,26.0,0.281,89.0,85.0,29.0,11.0,0.7303096214631843,2.1309444777954614,2.081546639438837,2.170213129270627,1.6682776141884796,,,,,,,,,,,
48,41.0,2019.0,465.0,1189.0439862853832,8.631349678211551,Max Muncy,Dodgers,28.0,0.251,101.0,98.0,35.0,4.0,0.5094476079869903,2.5225664692904424,2.5158841813830617,2.7579338362947685,0.32551758325628866,,,,,,,,,,,
49,42.0,2019.0,552.0,1289.6897846031386,8.624323160305265,Josh Bell,Pirates,26.0,0.27699999999999997,94.0,116.0,37.0,0.0,0.7008613529996914,2.294120307585037,3.117274624075065,2.953840738636149,-0.44177386299067756,,,,,,,,,,,
50,,2019.0,273.0,123.57127197815072,8.611203602830043,Brad Hand,Indians,29.0,,,,,,,,,,,7.0,84.0,3.3,1.243432574430823,34.0,6.0,0.583661796207535,-0.5379985936750373,-0.4581091575479726,6.247354591251146,0.7840794641483517
51,43.0,2019.0,481.0,1558.5365213779965,8.607847115982752,Jose Abreu,White Sox,32.0,0.284,85.0,123.0,33.0,2.0,0.7523958228108034,2.0004038139638007,3.351148685121955,2.562026933953388,-0.058128139867194444,,,,,,,,,,,
52,44.0,2019.0,499.0,1339.9393353833375,8.58933496709212,Josh Donaldson,Braves,33.0,0.259,96.0,94.0,37.0,4.0,0.5683441449139754,2.359390639500867,2.3822418607848386,2.953840738636149,0.32551758325628866,,,,,,,,,,,
53,,2019.0,561.0,707.5956226155333,8.582084798308905,Stephen Strasburg,Nationals,30.0,,,,,,,,,,,8.0,251.0,3.32,1.0382775119617225,0.0,18.0,3.662700349315337,-0.5331175971451476,-0.7743036796416414,-0.2768052875366609,3.8887684597434387
