Roto_Rank_Pit,Season,Points,Total_Z,Name,Team,Age,K,ERA,WHIP,Saves,Wins,K_zscore,ERA_zscore,WHIP_zscore,Saves_zscore,Wins_zscore
12,2019.0,321.0,7.899927482295981,Liam Hendriks,Athletics,30.0,124.0,1.8,0.9647058823529412,25.0,4.0,1.3211560604249726,-0.9040733334167652,-0.8876956963134442,4.520371093924962,0.26663129821583725
13,2019.0,522.0,7.8533829300757585,Charlie Morton,Rays,35.0,240.0,3.05,1.086508753861998,0.0,16.0,3.4598894266555416,-0.5990110502986586,-0.699967446847295,-0.2768052875366609,3.3713202938109244
14,2019.0,213.0,7.747469702943617,Raisel Iglesias,Reds,29.0,89.0,4.16,1.2238805970149254,34.0,3.0,0.6758485792347148,-0.32811574288977996,-0.4882435743183952,6.247354591251146,0.007907215249580005
15,2019.0,463.0,7.606079320490437,Lance Lynn,Rangers,32.0,246.0,3.67,1.2205670350792888,0.0,16.0,3.5705135662881573,-0.4477001578720778,-0.4933505900559385,-0.2768052875366609,3.3713202938109244
16,2019.0,538.0,7.579957196273742,Zack Greinke,- - -,35.0,187.0,2.93,0.9846301633045149,0.0,18.0,2.482709526567437,-0.6282970294779968,-0.8569874680215311,-0.2768052875366609,3.8887684597434387
17,2019.0,440.0,7.571922050390086,Eduardo Rodriguez,Red Sox,26.0,213.0,3.81,1.329394387001477,0.0,19.0,2.9620807983087714,-0.4135331821628498,-0.32562081474542875,-0.2768052875366609,4.1474925427096965
18,2019.0,264.0,7.462967173298102,Taylor Rogers,Twins,28.0,90.0,2.61,1.0,30.0,2.0,0.6942859358401506,-0.7063929739562321,-0.8332987610011103,5.479806370217286,-0.25081686771667727
19,2019.0,285.0,7.2220096117907016,Brandon Workman,Red Sox,30.0,104.0,1.88,1.0393258426966292,16.0,10.0,0.9524089283162539,-0.8845493472972064,-0.7726879435650829,2.793387596598778,1.8189757960133808
20,2019.0,246.0,7.2001004562570765,Hector Neris,Phillies,30.0,89.0,2.93,1.0267857142857142,28.0,3.0,0.6758485792347148,-0.6282970294779968,-0.7920153725944284,5.0960322597003564,0.007907215249580005
21,2019.0,251.0,7.187673046710267,Alex Colome,White Sox,30.0,55.0,2.8,1.0655737704918034,30.0,4.0,0.048978454649892735,-0.66002350692228,-0.7322334167049707,5.479806370217286,0.26663129821583725
22,2019.0,568.0,7.166295850333352,Jacob deGrom,Mets,31.0,255.0,2.43,0.9705882352941176,0.0,11.0,3.7364497757370807,-0.7503219427252394,-0.8786295404280553,-0.2768052875366609,2.077699878979638
23,2019.0,475.0,7.159178158986551,Luis Castillo,Reds,26.0,226.0,3.4,1.146161934805468,0.0,15.0,3.2017664341794387,-0.5135936110255888,-0.6080271904735165,-0.2768052875366609,3.112596210844667
24,2019.0,508.0,7.101273872465029,Patrick Corbin,Nationals,29.0,238.0,3.25,1.183168316831683,0.0,14.0,3.42301471344467,-0.5502010849997616,-0.5509912336788494,-0.2768052875366609,2.8538721278784096
25,2019.0,497.0,7.056943580528488,Lucas Giolito,White Sox,24.0,228.0,3.41,1.0669693530079456,0.0,14.0,3.2386411473903105,-0.5111531127606439,-0.730082480035785,-0.2768052875366609,2.8538721278784096
26,2019.0,204.0,7.049674191067306,Sean Doolittle,Nationals,32.0,66.0,4.05,1.3,29.0,6.0,0.2517893773096881,-0.3549612238041734,-0.37092481084627194,5.287919314958821,0.7840794641483517
27,2019.0,474.0,6.9829248244938125,Clayton Kershaw,Dodgers,31.0,189.0,3.03,1.0443571027512635,0.0,16.0,2.519584239778309,-0.6038920468285484,-0.7649335316126912,-0.2768052875366609,3.3713202938109244
28,2019.0,502.0,6.8902181776089755,Walker Buehler,Dodgers,24.0,215.0,3.26,1.043382756727073,0.0,14.0,2.998955511519643,-0.5477605867348168,-0.7664352390127666,-0.2768052875366609,2.8538721278784096
29,2019.0,248.0,6.775800606005541,Ian Kennedy,Royals,34.0,73.0,3.41,1.2836767036450079,30.0,3.0,0.38085087354773967,-0.5111531127606439,-0.3960830342302913,5.479806370217286,0.007907215249580005
30,2019.0,485.0,6.736250285708682,Max Scherzer,Nationals,34.0,243.0,2.92,1.0284718187100523,0.0,11.0,3.5152014964718497,-0.6307375277429417,-0.7894166700509125,-0.2768052875366609,2.077699878979638
31,2019.0,519.0,6.648315472809227,Jack Flaherty,Cardinals,23.0,231.0,2.75,0.9688934217236105,0.0,11.0,3.293953217206618,-0.6722259982470042,-0.8812416659126266,-0.2768052875366609,2.077699878979638
32,2019.0,278.0,6.6126717357596565,Hansel Robles,Angels,28.0,75.0,2.48,1.0249307479224377,23.0,5.0,0.41772558675861154,-0.7381194514005153,-0.7948743330104036,4.136596983408032,0.5253553811820946
