team_id,Trade Block,Positions,Player,Player Salary,Keeping
11,,OF,Tommy Pham,14.0,
11,,UTIL,Khris Davis,10.0,X
11,,SP,Yu Darvish,10.0,X
11,,SP,Luke Weaver,1.0,X
11,,SP,James Paxton,9.0,X
11,,SP,Dinelson Lamet,1.0,X
11,,SP,Michael Kopech ,1.0,X
11,,RP,Dakota Hudson ,1.0,X
11,,RP,Alex Colome,1.0,X
11,,BE,Michael Chavis,1.0,X
11,,BE,Sandy Alcantara,1.0,
11,,BE,Fransisco Mejia ,6.0,X
11,,BE,Max Fried,1.0,X
11,,BE,Brent Honeywell,6.0,X
11,,BE,Domingo Santana,3.0,X
11,,BE,,,X
11,,BE,Griffin Canning ,1.0,X
11,,BE,Triston McKenzie,6.0,X
11,,BE,Patrick Corbin ,6.0,X
11,,BE,J.D. Davis,1.0,
11,,DL,Willie Calhoun,1.0,
11,,DL,Brett Gardner,1.0,
12,,1B,Matt Olson,10.0,X
12,,2B,Keston Hiura,1.0,X
12,,3B,Jurickson Profar,6.0,X
12,,SS,Bo Bichette,1.0,X
12,,OF,Eddie Rosario,1.0,X
12,,OF,Michael Conforto,14.0,X
12,,OF,Nomar Mazara,6.0,X
12,,UTIL,Nick Markakis,1.0,X
12,,SP,Stephen Strasburg,6.0,X
12,,SP,Blake Snell,6.0,X
12,,SP,Aaron Civale,1.0,X
12,,SP,Dylan Cease,6.0,X
12,,SP,Nate Pearson,1.0,X
12,,RP,Logan Gilbert,1.0,X
12,,RP,,,X
12,,BE,Kyle Wright,6.0,X
12,,BE,Alex Reyes,7.0,X
12,,BE,Vladimir Guerrero Jr.,6.0,X
12,,BE,Brendan Rodgers,6.0,X
12,,BE,Miles Mikolas,6.0,X
12,,BE,Brendan McKay,1.0,X
12,,BE,Jo Adell,6.0,X
12,,BE,Alex Bregman,6.0,X
12,,BE,Julio Rodriguez,1.0,X
12,,BE,Dustin May,1.0,X
12,,BE,,,X
12,,DL,,,X
12,,DL,,,X
13,,1B,Paul Goldschmidt,1.0,X
13,,2B,Jose Altuve,6.0,X
13,,3B,Matt Carpenter,6.0,X
13,,SS,Marwin Gonzalez,6.0,X
13,,OF,Lorenzo Cain,6.0,X
13,,OF,Paul DeJong,5.0,X
13,,OF,Adam Eaton,1.0,X
13,,UTIL,Austin Riley,1.0,X
13,,SP,Dallas Keuchel,6.0,X
13,,SP,Masahiro Tanaka,6.0,X
13,,SP,Mike Clevinger,6.0,X
13,,SP,German Marquez,6.0,X
13,,SP,Steven Matz,1.0,X
13,,RP,Aroldis Chapman,24.0,X
13,,RP,Mark Melancon,2.0,X
13,,BE,Andrelton Simmons,6.0,X
13,,BE,Robinson Cano,12.0,X
13,,BE,Jonathan Villar,5.0,X
13,,BE,Jose Urena,11.0,X
13,,BE,Alex Gordon,2.0,X
13,,BE,Jon Gray,13.0,X
13,,BE,Hunter Pence,1.0,X
13,,BE,Tim Anderson,2.0,X
13,,BE,,,X
13,,BE,Shohei Ohtani,6.0,X
13,,BE,Sonny Gray,1.0,X
13,,DL,Aristides Aquino,1.0,X
13,,DL,Mallex Smith,1.0,X
14,,1B,Jose Abreu,6.0,X
14,,2B,Niko Goodrum,3.0,X
14,,3B,Justin Turner,1.0,X
14,,SS,Eduardo Escobar,1.0,X
14,,OF,Harrison Bader,1.0,X
14,,OF,Andrew McCutchen,1.0,X
14,,OF,Chad Pinder,1.0,X
14,,UTIL,Daniel Vogelbach,1.0,X
